timestamp,source_ip,dest_ip,packet_length,protocol,flags
2024-01-01 00:00:00,192.168.1.71,10.0.0.215,628.6616857522296,ICMP,FIN
2024-01-01 00:01:00,192.168.1.166,10.0.0.29,478.5387450492586,UDP,ACK
2024-01-01 00:02:00,192.168.1.113,10.0.0.220,342.14450038751863,ICMP,SYN
2024-01-01 00:03:00,192.168.1.123,10.0.0.197,236.26747552093107,ICMP,PSH
2024-01-01 00:04:00,192.168.1.75,10.0.0.159,639.0179980206741,TCP,PSH
2024-01-01 00:05:00,192.168.1.230,10.0.0.239,1031.9771208778766,ICMP,SYN
2024-01-01 00:06:00,192.168.1.212,10.0.0.91,250.0042926943801,ICMP,SYN
2024-01-01 00:07:00,192.168.1.158,10.0.0.65,481.0696775715509,UDP,PSH
2024-01-01 00:08:00,192.168.1.165,10.0.0.128,420.61817900712333,ICMP,SYN
2024-01-01 00:09:00,192.168.1.145,10.0.0.5,205.51504121883477,TCP,PSH
2024-01-01 00:10:00,192.168.1.146,10.0.0.151,5000.0,TCP,PSH
2024-01-01 00:11:00,192.168.1.84,10.0.0.2,622.8134231444367,UDP,ACK
2024-01-01 00:12:00,192.168.1.166,10.0.0.97,425.8549147153211,ICMP,FIN
2024-01-01 00:13:00,192.168.1.203,10.0.0.225,535.1836745592574,UDP,FIN
2024-01-01 00:14:00,192.168.1.150,10.0.0.182,676.5874595256495,ICMP,SYN
2024-01-01 00:15:00,192.168.1.38,10.0.0.14,411.21185179394024,TCP,ACK
2024-01-01 00:16:00,192.168.1.185,10.0.0.103,302.7300325577918,TCP,SYN
2024-01-01 00:17:00,192.168.1.156,10.0.0.202,236.7721603693547,TCP,FIN
2024-01-01 00:18:00,192.168.1.77,10.0.0.19,653.965256326615,UDP,FIN
2024-01-01 00:19:00,192.168.1.47,10.0.0.75,585.1676096563139,ICMP,FIN
2024-01-01 00:20:00,192.168.1.115,10.0.0.184,909.8840690433525,UDP,PSH
2024-01-01 00:21:00,192.168.1.79,10.0.0.172,254.96478716879255,ICMP,ACK
2024-01-01 00:22:00,192.168.1.207,10.0.0.195,809.2757873177922,ICMP,ACK
2024-01-01 00:23:00,192.168.1.174,10.0.0.111,721.6410117146357,TCP,FIN
2024-01-01 00:24:00,192.168.1.199,10.0.0.187,570.1804137671885,UDP,SYN
2024-01-01 00:25:00,192.168.1.209,10.0.0.149,79.33885623211934,UDP,FIN
2024-01-01 00:26:00,192.168.1.141,10.0.0.165,219.73885567865747,ICMP,PSH
2024-01-01 00:27:00,192.168.1.14,10.0.0.27,652.6352850610255,TCP,PSH
2024-01-01 00:28:00,192.168.1.221,10.0.0.53,471.84569672708955,UDP,PSH
2024-01-01 00:29:00,192.168.1.190,10.0.0.178,554.3319695601092,ICMP,SYN
2024-01-01 00:30:00,192.168.1.38,10.0.0.243,493.0974004209856,UDP,SYN
2024-01-01 00:31:00,192.168.1.130,10.0.0.19,969.0176894613808,TCP,ACK
2024-01-01 00:32:00,192.168.1.103,10.0.0.110,934.6647413922108,UDP,SYN
2024-01-01 00:33:00,192.168.1.134,10.0.0.5,379.54986866702956,TCP,PSH
2024-01-01 00:34:00,192.168.1.10,10.0.0.30,498.4423682995509,TCP,PSH
2024-01-01 00:35:00,192.168.1.215,10.0.0.46,386.67344864056736,UDP,ACK
2024-01-01 00:36:00,192.168.1.38,10.0.0.112,325.4760931974643,ICMP,ACK
2024-01-01 00:37:00,192.168.1.6,10.0.0.3,841.6485140859077,UDP,SYN
2024-01-01 00:38:00,192.168.1.55,10.0.0.31,799.0398674394847,UDP,SYN
2024-01-01 00:39:00,192.168.1.223,10.0.0.228,806.6653117708842,ICMP,PSH
2024-01-01 00:40:00,192.168.1.183,10.0.0.74,368.84504197315533,TCP,ACK
2024-01-01 00:41:00,192.168.1.144,10.0.0.32,465.9329496924286,ICMP,SYN
2024-01-01 00:42:00,192.168.1.243,10.0.0.23,579.8690585909126,TCP,FIN
2024-01-01 00:43:00,192.168.1.204,10.0.0.129,362.420039251409,ICMP,FIN
2024-01-01 00:44:00,192.168.1.151,10.0.0.208,390.96847267812956,TCP,PSH
2024-01-01 00:45:00,192.168.1.128,10.0.0.172,521.6391339987158,TCP,FIN
2024-01-01 00:46:00,192.168.1.102,10.0.0.17,171.4118514216573,TCP,SYN
2024-01-01 00:47:00,192.168.1.53,10.0.0.160,728.7335688382768,TCP,FIN
2024-01-01 00:48:00,192.168.1.77,10.0.0.219,827.4014078236594,TCP,SYN
2024-01-01 00:49:00,192.168.1.146,10.0.0.95,621.7265317937171,ICMP,SYN
2024-01-01 00:50:00,192.168.1.1,10.0.0.103,10.0,TCP,SYN
2024-01-01 00:51:00,192.168.1.180,10.0.0.82,455.78502621375503,UDP,PSH
2024-01-01 00:52:00,192.168.1.196,10.0.0.15,403.02343134658616,TCP,PSH
2024-01-01 00:53:00,192.168.1.233,10.0.0.200,460.7638182253431,ICMP,SYN
2024-01-01 00:54:00,192.168.1.105,10.0.0.54,651.746224160867,UDP,FIN
2024-01-01 00:55:00,192.168.1.102,10.0.0.218,352.46987045891626,TCP,SYN
2024-01-01 00:56:00,192.168.1.83,10.0.0.161,327.94684519985276,UDP,PSH
2024-01-01 00:57:00,192.168.1.193,10.0.0.156,663.5516441342392,ICMP,SYN
2024-01-01 00:58:00,192.168.1.237,10.0.0.69,503.75918932168156,ICMP,PSH
2024-01-01 00:59:00,192.168.1.236,10.0.0.197,713.2589653017966,TCP,FIN
2024-01-01 01:00:00,192.168.1.149,10.0.0.228,437.22432296768136,ICMP,PSH
2024-01-01 01:01:00,192.168.1.229,10.0.0.11,430.0180307126933,UDP,FIN
2024-01-01 01:02:00,192.168.1.25,10.0.0.41,347.4067769448912,UDP,FIN
2024-01-01 01:03:00,192.168.1.245,10.0.0.125,711.3748576273342,ICMP,SYN
2024-01-01 01:04:00,192.168.1.27,10.0.0.252,533.9814369011555,ICMP,FIN
2024-01-01 01:05:00,192.168.1.186,10.0.0.69,165.88010756688712,TCP,ACK
2024-01-01 01:06:00,192.168.1.21,10.0.0.170,831.9724055832274,UDP,FIN
2024-01-01 01:07:00,192.168.1.251,10.0.0.251,420.02889309257165,ICMP,PSH
2024-01-01 01:08:00,192.168.1.230,10.0.0.201,237.09014510041592,UDP,SYN
2024-01-01 01:09:00,192.168.1.210,10.0.0.69,836.0858230825925,UDP,PSH
2024-01-01 01:10:00,192.168.1.61,10.0.0.126,133.0116078458755,UDP,ACK
2024-01-01 01:11:00,192.168.1.198,10.0.0.187,203.35755207360137,TCP,ACK
2024-01-01 01:12:00,192.168.1.250,10.0.0.174,747.8093661650447,TCP,PSH
2024-01-01 01:13:00,192.168.1.6,10.0.0.231,548.4093130973905,TCP,FIN
2024-01-01 01:14:00,192.168.1.192,10.0.0.212,386.9910225561247,TCP,SYN
2024-01-01 01:15:00,192.168.1.132,10.0.0.16,489.22012394950383,UDP,SYN
2024-01-01 01:16:00,192.168.1.211,10.0.0.126,462.82351474079746,ICMP,FIN
2024-01-01 01:17:00,192.168.1.230,10.0.0.15,356.70915964211775,ICMP,PSH
2024-01-01 01:18:00,192.168.1.236,10.0.0.125,466.20740122337577,TCP,ACK
2024-01-01 01:19:00,192.168.1.154,10.0.0.126,614.3469277577387,UDP,FIN
2024-01-01 01:20:00,192.168.1.186,10.0.0.1,4500.0,UDP,ACK
2024-01-01 01:21:00,192.168.1.21,10.0.0.40,464.13294283079745,ICMP,ACK
2024-01-01 01:22:00,192.168.1.121,10.0.0.111,399.2720837553094,TCP,ACK
2024-01-01 01:23:00,192.168.1.182,10.0.0.205,649.7668868128188,TCP,ACK
2024-01-01 01:24:00,192.168.1.184,10.0.0.196,355.5510478900877,ICMP,PSH
2024-01-01 01:25:00,192.168.1.41,10.0.0.178,285.1207180422994,ICMP,ACK
2024-01-01 01:26:00,192.168.1.133,10.0.0.85,755.080205838535,UDP,SYN
2024-01-01 01:27:00,192.168.1.212,10.0.0.186,559.760845658778,TCP,FIN
2024-01-01 01:28:00,192.168.1.240,10.0.0.55,396.98012992269645,UDP,FIN
2024-01-01 01:29:00,192.168.1.83,10.0.0.59,744.1853502324834,ICMP,ACK
2024-01-01 01:30:00,192.168.1.56,10.0.0.75,331.6425512651448,TCP,ACK
2024-01-01 01:31:00,192.168.1.69,10.0.0.165,104.14608961648581,TCP,FIN
2024-01-01 01:32:00,192.168.1.23,10.0.0.73,457.59448462082975,TCP,PSH
2024-01-01 01:33:00,192.168.1.181,10.0.0.134,573.6235081193599,ICMP,FIN
2024-01-01 01:34:00,192.168.1.82,10.0.0.217,777.9003564200387,TCP,FIN
2024-01-01 01:35:00,192.168.1.160,10.0.0.170,910.127910114096,ICMP,PSH
2024-01-01 01:36:00,192.168.1.222,10.0.0.54,582.2851772614796,UDP,SYN
2024-01-01 01:37:00,192.168.1.132,10.0.0.59,707.3408977467686,ICMP,ACK
2024-01-01 01:38:00,192.168.1.87,10.0.0.188,258.46021830132554,ICMP,PSH
2024-01-01 01:39:00,192.168.1.221,10.0.0.110,284.75563075406353,UDP,PSH
